model,folds,cv_accuracy,fold_mean_accuracy,fold_std_accuracy,train_seconds,inference_seconds,suitability_note
catboost,5,0.8121477050500403,0.8121471078109914,0.005778390824792652,16.59257229999639,0.010291100003087195,Best project backbone; stable on mixed categorical/numeric features.
histgb,5,0.8088116875647072,0.8088121885320916,0.005432917255005704,4.982509400000708,0.06768989999545738,Efficient gradient boosting baseline from scikit-learn.
xgboost,5,0.8085816173933049,0.8085821712807977,0.0064221711994329606,2.1950154999940423,0.04388719999769819,Strong boosted-tree baseline; needs careful regularization.
lightgbm,5,0.8084665823076038,0.8084676258659561,0.006891481651900872,2.0810607000021264,0.050899200003186706,Fast boosted trees; less stable than CatBoost in prior experiments.
random_forest,5,0.805360634993673,0.8053606724762125,0.007262517315440754,2.0859469000060926,0.17432029999690712,Robust tree ensemble; weaker on this small sparse encoded dataset.
logistic,5,0.7785574600253077,0.7785583026897328,0.009495249114039745,0.07166049999432289,0.006565499996213475,Fast linear baseline; limited nonlinear capacity.
