model,folds,cv_accuracy,cv_f1,cv_precision,cv_recall,fold_mean_accuracy,fold_std_accuracy,fold_mean_f1,fold_std_f1,train_seconds,inference_seconds
catboost,5,0.8121477050500403,0.810270709887301,0.8245448096476709,0.7964824120603015,0.8121471078109914,0.005778390824792652,0.8097783815155492,0.013123138074398478,21.53546009999991,0.010973999997077044
histgb,5,0.8088116875647072,0.8085253456221199,0.8156671315667131,0.8015075376884422,0.8088121885320916,0.005432917255005704,0.8082207010160019,0.009609635751627254,4.22305950000009,0.09829459999673418
xgboost,5,0.8085816173933049,0.8082065467957584,0.8157282456956724,0.8008222932846049,0.8085821712807977,0.0064221711994329606,0.8078729786937926,0.010667488784311159,4.3469905000019935,0.11510770000313642
lightgbm,5,0.8084665823076038,0.8080691642651296,0.8156853618803817,0.8005938784833257,0.8084676258659561,0.006891481651900872,0.807813592083759,0.0093289566258192,1.8553528999946138,0.06750309999915771
random_forest,5,0.805360634993673,0.8032100488485694,0.8182464454976304,0.7887163088168113,0.8053606724762125,0.007262517315440754,0.8028056658302525,0.0129602339430382,8.81877550000354,0.28959890000624
logistic,5,0.7785574600253077,0.7851322692264762,0.7677363021174416,0.8033348560986752,0.7785583026897328,0.009495249114039745,0.7848026068004307,0.013826148804242953,0.08082149999972899,0.008611799999926006
